"Ref","Qnty","Value","Footprint","Part Number"
"C1, ","1","0.1uF","Capacitor_SMD:C_1206_3216Metric","C3216X7T2V104M160AA"
"C2, ","1","10uF","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","UVR2W100MHD"
"C4, ","1","470uF","Capacitor_SMD:CP_Elec_10x12.5","GYA1C471MCW1GS"
"C5, ","1","100uF","Capacitor_SMD:CP_Elec_6.3x5.8","16ML100MEFC6.3X7"
"C6, C9, C10, C11, C14, C15, C16, C17, C22, C23, C24, C25, ","12","22uF","Capacitor_SMD:C_0805_2012Metric","CL21A226MQQNNNE"
"C7, C12, C18, C20, ","4","10nF","Capacitor_SMD:C_0402_1005Metric","CL05B103KB5NNNC"
"C8, C13, ","2","450pF","Capacitor_SMD:C_0402_1005Metric","CL05B471KB5NNNC"
"C19, C21, ","2","5nF","Capacitor_SMD:C_0402_1005Metric","CC0402KRX7R9BB562"
"C26, C28, ","2","10uF","Capacitor_SMD:C_0805_2012Metric","GRM21BR70J106KE76L"
"C27, ","1","0.1uF","Capacitor_SMD:C_0402_1005Metric","CC0402KRX7R7BB104"
"C29, ","1","0.1uF","Capacitor_SMD:C_0603_1608Metric","C1608X7R1H104K080AA"
"CY3, ","1","1.0nF","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm","C901U102MUVDBA7317"
"D1, ","1","SMBJ7.0A","Diode_SMD:D_SMB","SMBJ7.0A"
"F1, ","1","1A/300V Slow","Fuse:Fuse_Littelfuse_395Series","36911000000"
"J1, J2, ","2","Conn_01x01_Female","mains_blade:IRL_00",""
"J3, ","1","Conn_01x07_Male","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"L1, L2, L3, L4, ","4","1uH","Inductor_SMD:L_Coilcraft_XxL4020","XAL4020-102ME"
"L5, ","1","1.2mH","Bourns:RLB9012","RLB9012-122KL"
"L6, ","1","4.7uH","Inductor_SMD:L_Coilcraft_XxL4030","XAL4030-472ME"
"NTC1, ","1","10R","Capacitor_THT:C_Disc_D9.0mm_W2.5mm_P5.00mm","B57234S0100M051"
"PS1, ","1","PBO-5C-5","CUI:CONV_PBO-5C-12","PBO-5C-5"
"R7, ","1","470k","Resistor_SMD:R_0402_1005Metric","RTT024703FTH"
"R8, ","1","150k","Resistor_SMD:R_0402_1005Metric","RC0402FR-07150KL"
"R9, ","1","330k","Resistor_SMD:R_0402_1005Metric","RC0402FR-07330KL"
"R10, ","1","120k","Resistor_SMD:R_0402_1005Metric","RTT021203FTH"
"R11, ","1","110k","Resistor_SMD:R_0402_1005Metric","RTT021103FTH"
"R12, ","1","160k","Resistor_SMD:R_0402_1005Metric","0402WGF1603TCE"
"R13, ","1","82k","Resistor_SMD:R_0402_1005Metric","0402WGF8202TCE"
"R14, ","1","220k","Resistor_SMD:R_0402_1005Metric","ERJPA2F2203X"
"R15, R16, R17, R18, R19, ","5","0R","Resistor_SMD:R_0402_1005Metric","RC0402JR-070RL"
"U3, U4, U5, U6, ","4","TPS62095RGTR","TI:TI_RTE_S-PWQFN-N16","TPS62095RGTR"
"U7, ","1","AP131-25","Package_TO_SOT_SMD:SOT-23-5","AP131-25"
